home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
SINGLE_FAMILY,CT,Naugatuck,6770,0.17,1200.0,4.0,2.0,198400
CONDO,CT,Bridgeport,6610,,1604.0,3.0,2.0,154900
SINGLE_FAMILY,CT,Hartford,6106,0.07,1336.0,4.0,2.0,125000
MULTI_FAMILY,CT,Meriden,6450,0.29,2394.0,,0.0,162000
CONDO,CT,Wethersfield,6109,,832.0,1.0,2.0,149000
CONDO,CT,Southbury,6488,,928.0,1.0,1.0,165000
SINGLE_FAMILY,CT,Windsor,6095,0.52,1122.0,3.0,1.0,199900
SINGLE_FAMILY,CT,Amston,6231,0.44,884.0,2.0,1.0,109900
MULTI_FAMILY,CT,Brooklyn,6234,0.19,2464.0,6.0,2.0,160000
CONDO,CT,South Windsor,6074,,814.0,2.0,1.0,140000
CONDO,CT,Southbury,6488,,1032.0,2.0,2.0,165000
SINGLE_FAMILY,CT,Quaker Hill,6375,0.2,896.0,2.0,1.0,159000
CONDO,CT,Bridgeport,6606,,740.0,1.0,1.0,149900
SINGLE_FAMILY,CT,Meriden,6451,0.2,1310.0,3.0,1.0,179900
CONDO,CT,Middletown,6457,,1028.0,2.0,2.0,195000
CONDO,CT,Meriden,6450,,1152.0,2.0,2.0,199900
CONDO,CT,East Haven,6512,,990.0,2.0,2.0,108000
CONDO,CT,Hamden,6514,,800.0,1.0,1.0,149900
CONDO,CT,Waterbury,6705,,960.0,2.0,2.0,129900
CONDO,CT,Hartford,6106,,797.0,2.0,1.0,134900
CONDO,CT,East Haven,6512,,1024.0,2.0,2.0,179900
SINGLE_FAMILY,CT,Middletown,6457,0.16,976.0,3.0,2.0,155000
CONDO,CT,Bridgeport,6606,,990.0,2.0,1.0,125000
MULTI_FAMILY,CT,Waterbury,6706,0.09,1993.0,6.0,3.0,199900
SINGLE_FAMILY,CT,East Hartford,6118,0.22,1032.0,3.0,1.0,195000
SINGLE_FAMILY,CT,West Hartford,6110,0.2,1638.0,4.0,2.0,199900
SINGLE_FAMILY,CT,Coventry,6238,0.11,709.0,2.0,1.0,185000
SINGLE_FAMILY,CT,New London,6320,0.38,1211.0,3.0,2.0,190000
CONDO,CT,Waterbury,6705,,1152.0,2.0,2.0,164900
SINGLE_FAMILY,CT,Rocky Hill,6067,0.61,1118.0,2.0,1.0,174900
CONDO,CT,Southington,6489,,1203.0,2.0,2.0,199900
CONDO,CT,New Haven,6513,,1725.0,2.0,3.0,149900
SINGLE_FAMILY,CT,Willimantic,6226,0.8,1357.0,2.0,2.0,175000
CONDO,CT,New Milford,6776,,840.0,1.0,1.0,164000
SINGLE_FAMILY,CT,Bristol,6010,0.26,1076.0,3.0,2.0,199900
SINGLE_FAMILY,CT,Plainfield,6374,0.98000459136823,1198.0,3.0,1.0,155000
SINGLE_FAMILY,CT,Coventry,6238,0.11,709.0,2.0,1.0,185000
CONDO,CT,Hamden,6514,,800.0,1.0,1.0,149900
SINGLE_FAMILY,CT,Windsor,6095,0.52,1122.0,3.0,1.0,199900
CONDO,CT,Windsor Locks,6096,,675.0,1.0,1.0,125000
SINGLE_FAMILY,CT,Torrington,6790,0.43,1580.0,2.0,2.0,189900
CONDO,CT,Bristol,6010,,1018.0,2.0,2.0,124000
SINGLE_FAMILY,CT,Madison,6443,,441.0,1.0,1.0,179000
SINGLE_FAMILY,CT,Willimantic,6226,0.8,1357.0,2.0,2.0,175000
SINGLE_FAMILY,CT,Norwich,6360,0.05,1103.0,3.0,1.0,189900
SINGLE_FAMILY,CT,New Hartford,6057,0.36,1536.0,3.0,2.0,189000
MULTI_FAMILY,CT,Meriden,6450,0.29,2394.0,,0.0,162000
MULTI_FAMILY,CT,Waterbury,6706,0.09,1993.0,6.0,3.0,199900
MULTI_FAMILY,CT,Hartford,6120,0.12,2096.0,4.0,2.0,189000
SINGLE_FAMILY,CT,Meriden,6450,0.15,1042.0,3.0,2.0,189400
SINGLE_FAMILY,CT,Willimantic,6226,0.55,1306.0,2.0,1.0,144900
SINGLE_FAMILY,CT,Norwich,6360,0.18,912.0,2.0,1.0,185000
SINGLE_FAMILY,CT,Prospect,6712,1.33,1226.0,3.0,1.0,155500
CONDO,CT,New Milford,6776,,1026.0,2.0,2.0,149900
MULTI_FAMILY,CT,Plainfield,6374,0.19,2522.0,8.0,2.0,185000
SINGLE_FAMILY,CT,Wallingford,6492,0.58,784.0,1.0,1.0,135000
SINGLE_FAMILY,CT,Simsbury,6070,0.34,864.0,2.0,1.0,199900
