zipcode,city,state,county,population,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,crime_count,crime_rate
1109,Springfield,MA,Hampden,90750,234975,16,31,12,0,2,4,134,1347,214139,21,,
1111,Springfield,MA,Hampden,,,,,,,,,,,,,,
1115,Springfield,MA,Hampden,,,,,,,,,,,,,,
1116,Longmeadow,MA,Hampden,,,,,,,,,,,,,,
1118,Springfield,MA,Hampden,42213,290925,9,10,16,0,4,4,214,1594,334606,14,,
1119,Springfield,MA,Hampden,42456,249974,12,41,8,0,4,1,209,1309,285589,13,,
1128,Springfield,MA,Hampden,7893,281150,1,58,4,0,0,,206,1365,277683,1,,
1129,Springfield,MA,Hampden,21057,289450,5,16,6,0,0,3,172,1682,277930,7,,
1138,Springfield,MA,Hampden,,,,,,,,,,,,,,
1139,Springfield,MA,Hampden,,,,,,,,,,,,,,
1144,Springfield,MA,Hampden,,,,,,,,,,,,,,
1151,Indian Orchard,MA,Hampden,26094,,,,,,,,,,,,,
1152,Springfield,MA,Hampden,,,,,,,,,,,,,,
1199,Springfield,MA,Hampden,0,,,,,,,,,,,,,
1201,Pittsfield,MA,Berkshire,139512,294725,30,46,28,0,2,34,205,1643,426227,64,,
1202,Pittsfield,MA,Berkshire,,,,,,,,,,,,,,
1203,Pittsfield,MA,Berkshire,,,,,,,,,,,,,,
1220,Adams,MA,Berkshire,25809,,,,,,,,,,,,,
1222,Ashley Falls,MA,Berkshire,2487,,,,,,,,,,,,,
1223,Becket,MA,Berkshire,6942,,,,,,,,,,,,,
1224,Berkshire,MA,Berkshire,546,,,,,,,,,,,,,
1225,Cheshire,MA,Berkshire,9351,338500,2,39,0,0,0,1,151,2236,338500,3,,
1226,Dalton,MA,Berkshire,20835,,,,,,,,,,,,,
1227,Dalton,MA,Berkshire,,,,,,,,,,,,,,
1229,Glendale,MA,Berkshire,285,,,,,,,,,,,,,
1230,Great Barrington,MA,Berkshire,25290,,,,,,,,,,,,,
1235,Hinsdale,MA,Berkshire,8298,449000,2,5,0,0,0,1,131,3426,449000,1,,
1236,Housatonic,MA,Berkshire,4527,,,,,,,,,,,,,
1237,Lanesborough,MA,Berkshire,7488,,,,,,,,,,,,,
1238,Lee,MA,Berkshire,18141,,,,,,,,,,,,,
1240,Lenox,MA,Berkshire,13602,870500,16,103,6,0,2,12,294,3013,2027412,27,,
1242,Lenox Dale,MA,Berkshire,1428,,,,,,,,,,,,,
1243,Middlefield,MA,Hampshire,1002,,,,,,,,,,,,,
1244,Mill River,MA,Berkshire,453,,1,,0,0,0,1,,,,1,,
1245,Monterey,MA,Berkshire,2955,1687500,3,140,0,0,0,,546,3118,1716667,3,,
1247,North Adams,MA,Berkshire,48261,225000,17,70,8,0,2,17,161,1580,282655,33,,
1252,North Egremont,MA,Berkshire,,1250000,1,223,0,0,0,,613,2040,1250000,1,,
1253,Otis,MA,Berkshire,2193,,,,,,,,,,,,,
