home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
SINGLE_FAMILY,NY,Saint Albans,11412,,1570.0,3,2.0,3595
SINGLE_FAMILY,NY,Flushing,11366,,2000.0,4,2.5,4500
TOWNHOUSE,NY,Fresh Meadows,11365,,,1,1.0,2050
TOWNHOUSE,NY,Bayside,11361,,,3,2.0,2750
SINGLE_FAMILY,NY,Flushing,11375,,2800.0,3,3.0,5500
TOWNHOUSE,NY,Queens Village,11427,,,2,1.0,2500
TOWNHOUSE,NY,Richmond Hill,11418,,,3,1.0,2600
SINGLE_FAMILY,NY,Flushing,11379,,,3,2.0,3900
SINGLE_FAMILY,NY,Flushing,11355,,750.0,3,2.0,2500
SINGLE_FAMILY,NY,Flushing,11375,,1500.0,3,1.5,4500
SINGLE_FAMILY,NY,Flushing,11364,,1100.0,3,1.5,2700
SINGLE_FAMILY,NY,Flushing,11357,,2000.0,3,4.0,5200
TOWNHOUSE,NY,Floral Park,11001,,,2,1.0,2600
TOWNHOUSE,NY,Bayside,11361,,1100.0,2,2.0,2850
SINGLE_FAMILY,NY,Whitestone,11357,,1200.0,3,3.0,3600
SINGLE_FAMILY,NY,Jamaica,11436,,,5,2.0,4500
TOWNHOUSE,NY,Flushing,11374,,2000.0,2,1.5,4000
SINGLE_FAMILY,NY,Jamaica,11414,,2000.0,4,2.0,4450
SINGLE_FAMILY,NY,Flushing,11367,,1296.0,3,1.5,3250
SINGLE_FAMILY,NY,Jamaica,11413,,1000.0,3,1.0,3000
TOWNHOUSE,NY,Arverne,11692,,700.0,1,1.0,1900
SINGLE_FAMILY,NY,Jamaica,11432,,2514.0,5,3.0,6000
SINGLE_FAMILY,NY,Jamaica,11421,,600.0,1,1.0,1680
TOWNHOUSE,NY,College Point,11356,,700.0,2,1.0,2000
SINGLE_FAMILY,NY,Jamaica,11420,,,4,2.0,3500
SINGLE_FAMILY,NY,Whitestone,11357,,1300.0,3,2.0,2850
SINGLE_FAMILY,NY,Flushing,11366,,,3,2.5,6995
SINGLE_FAMILY,NY,Flushing,11365,,,3,1.5,4100
SINGLE_FAMILY,NY,Flushing,11360,,1400.0,3,2.0,3000
SINGLE_FAMILY,NY,Jamaica,11432,,,5,4.0,5800
TOWNHOUSE,NY,Bellerose,11426,,650.0,1,1.0,1850
TOWNHOUSE,NY,Far Rockaway,11691,,,3,1.0,3082
TOWNHOUSE,NY,Far Rockaway,11691,,,4,1.0,3400
TOWNHOUSE,NY,Far Rockaway,11691,,,3,1.0,3088
SINGLE_FAMILY,NY,Ridgewood,11385,,,3,2.0,3495
SINGLE_FAMILY,NY,Queens Village,11427,,,1,1.0,1350
SINGLE_FAMILY,NY,Whitestone,11357,,1200.0,3,2.5,4000
SINGLE_FAMILY,NY,Flushing,11361,,1065.0,3,1.5,3500
SINGLE_FAMILY,NY,Middle Village,11379,,,3,1.0,2800
SINGLE_FAMILY,NY,Jamaica,11419,,,3,2.0,3500
TOWNHOUSE,NY,Flushing,11355,,,3,1.5,2500
SINGLE_FAMILY,NY,Flushing,11364,,1375.0,3,2.0,2850
SINGLE_FAMILY,NY,Jamaica,11434,,1020.0,3,1.0,2800
TOWNHOUSE,NY,Bellerose,11426,,900.0,2,1.0,2550
TOWNHOUSE,NY,Flushing,11367,,900.0,2,1.0,2200
SINGLE_FAMILY,NY,Bayside,11361,,600.0,1,1.0,1600
SINGLE_FAMILY,NY,Flushing,11367,,1034.0,3,1.0,2500
TOWNHOUSE,NY,Jamaica,11429,,1100.0,2,2.0,2550
TOWNHOUSE,NY,Jamaica,11416,,,2,1.0,2555
TOWNHOUSE,NY,Ridgewood,11385,,,3,1.0,3082
SINGLE_FAMILY,NY,Flushing,11355,,1540.0,4,2.0,2800
SINGLE_FAMILY,NY,Oaks,11004,,1236.0,1,1.0,1500
SINGLE_FAMILY,NY,Flushing,11355,,,3,1.0,2300
TOWNHOUSE,NY,Far Rockaway,11691,,,3,1.0,2912
TOWNHOUSE,NY,Flushing,11361,,750.0,2,1.0,2300
TOWNHOUSE,NY,Hollis,11423,,,2,1.0,1800
SINGLE_FAMILY,NY,Jamaica,11432,,1722.0,3,2.5,3900
SINGLE_FAMILY,NY,Flushing,11364,,1296.0,3,1.5,2900
SINGLE_FAMILY,NY,Flushing,11364,,1200.0,3,2.5,3100
SINGLE_FAMILY,NY,Whitestone,11357,,800.0,2,1.0,2100
SINGLE_FAMILY,NY,Jamaica,11433,,1500.0,3,2.0,2800
SINGLE_FAMILY,NY,Jamaica,11432,,1000.0,3,1.0,2900
SINGLE_FAMILY,NY,Flushing,11356,,900.0,3,1.0,2600
SINGLE_FAMILY,NY,Far Rockaway,11694,,655.0,2,1.0,2250
TOWNHOUSE,NY,Far Rockaway,11691,,,3,1.0,3200
SINGLE_FAMILY,NY,Fresh Meadows,11365,,1440.0,3,1.5,3800
SINGLE_FAMILY,NY,Jamaica,11434,,,3,2.0,1950
SINGLE_FAMILY,NY,Queens Village,11427,,,3,1.5,4990
SINGLE_FAMILY,NY,Flushing,11365,,700.0,2,1.0,1900
SINGLE_FAMILY,NY,Flushing,11379,,1782.0,1,1.0,1800
TOWNHOUSE,NY,Flushing,11358,,600.0,1,1.0,1700
TOWNHOUSE,NY,Ozone Park,11416,,1100.0,3,1.0,2450
SINGLE_FAMILY,NY,Jamaica,11432,,1296.0,4,2.5,3700
SINGLE_FAMILY,NY,Jamaica,11421,,1292.0,3,1.0,3000
SINGLE_FAMILY,NY,Jamaica,11418,,,2,1.0,2100
SINGLE_FAMILY,NY,Rosedale,11422,,1250.0,3,2.0,4200
